time,NAME,X,Y,SPD,HDG,TYPE,COLOR,MODE,ALLSTOP,TIME,LENGTH,src
1722605948.216566,ned,12.99,1.57,0.02,149.25,kayak,gray70,PARK,ManualOverride,40,1722605948.22,4,pNodeReporter
1722605951.230566,ned,12.92,1.56,0.01,149.25,kayak,gray70,PARK,ManualOverride,41,1722605951.23,4,pNodeReporter
1722605954.2443461,ned,12.92,1.46,0.02,149.25,kayak,gray70,PARK,ManualOverride,42,1722605954.24,4,pNodeReporter
1722605957.2583761,ned,12.94,1.33,0.02,149.25,kayak,gray70,PARK,ManualOverride,43,1722605957.26,4,pNodeReporter
1722605960.271916,ned,12.91,1.22,0.03,149.25,kayak,gray70,PARK,ManualOverride,44,1722605960.27,4,pNodeReporter
1722605963.286096,ned,12.81,1.24,0.02,149.25,kayak,gray70,PARK,ManualOverride,45,1722605963.29,4,pNodeReporter
1722605966.300506,ned,12.79,1.19,0,149.25,kayak,gray70,PARK,ManualOverride,46,1722605966.3,4,pNodeReporter
1722605969.314806,ned,12.79,1.09,0.01,149.25,kayak,gray70,PARK,ManualOverride,47,1722605969.31,4,pNodeReporter
1722605972.329186,ned,12.8,1,0.02,149.25,kayak,gray70,PARK,ManualOverride,48,1722605972.33,4,pNodeReporter
1722605975.342166,ned,12.81,0.98,0.01,149.25,kayak,gray70,PARK,ManualOverride,49,1722605975.34,4,pNodeReporter
1722605978.350536,ned,12.8,0.98,0.01,149.25,kayak,gray70,PARK,ManualOverride,50,1722605978.35,4,pNodeReporter
1722605981.3623261,ned,12.79,1,0.01,149.25,kayak,gray70,PARK,ManualOverride,51,1722605981.36,4,pNodeReporter
1722605984.371866,ned,12.72,0.96,0.02,149.25,kayak,gray70,PARK,ManualOverride,52,1722605984.37,4,pNodeReporter
1722605987.380616,ned,12.63,1.04,0.01,149.25,kayak,gray70,PARK,ManualOverride,53,1722605987.38,4,pNodeReporter
1722605990.394216,ned,12.54,1.19,0.01,149.25,kayak,gray70,PARK,ManualOverride,54,1722605990.39,4,pNodeReporter
1722605993.029916,ned,12.43,1.39,0.01,149.25,kayak,gray70,PARK,ManualOverride,55,1722605993.03,4,pNodeReporter
1722605996.038266,ned,12.43,1.46,0.02,149.25,kayak,gray70,PARK,ManualOverride,56,1722605996.04,4,pNodeReporter
1722605999.054236,ned,12.46,1.5,0.02,149.25,kayak,gray70,PARK,ManualOverride,57,1722605999.05,4,pNodeReporter
1722606002.064056,ned,12.54,1.48,0.02,149.25,kayak,gray70,PARK,ManualOverride,58,1722606002.06,4,pNodeReporter
1722606005.073216,ned,12.72,1.39,0.01,149.25,kayak,gray70,PARK,ManualOverride,59,1722606005.07,4,pNodeReporter
1722606008.086026,ned,12.88,1.26,0.02,149.25,kayak,gray70,PARK,ManualOverride,60,1722606008.09,4,pNodeReporter
1722606011.094606,ned,12.99,1.17,0.01,149.25,kayak,gray70,PARK,ManualOverride,61,1722606011.09,4,pNodeReporter
1722606014.106796,ned,13.05,1.22,0.02,149.25,kayak,gray70,PARK,ManualOverride,62,1722606014.11,4,pNodeReporter
1722606017.116546,ned,13.11,1.28,0.01,149.25,kayak,gray70,PARK,ManualOverride,63,1722606017.12,4,pNodeReporter
1722606020.1254961,ned,13.16,1.39,0.02,149.25,kayak,gray70,PARK,ManualOverride,64,1722606020.13,4,pNodeReporter
1722606023.138186,ned,13.09,1.44,0.01,149.25,kayak,gray70,PARK,ManualOverride,65,1722606023.14,4,pNodeReporter
1722606026.146606,ned,12.99,1.57,0.01,149.25,kayak,gray70,PARK,ManualOverride,66,1722606026.15,4,pNodeReporter
1722606029.158576,ned,12.89,1.54,0.02,149.25,kayak,gray70,PARK,ManualOverride,67,1722606029.16,4,pNodeReporter
1722606032.172576,ned,12.84,1.52,0.02,149.25,kayak,gray70,PARK,ManualOverride,68,1722606032.17,4,pNodeReporter
1722606035.181886,ned,12.8,1.54,0.02,149.25,kayak,gray70,PARK,ManualOverride,69,1722606035.18,4,pNodeReporter
1722606038.192176,ned,12.77,1.54,0,149.25,kayak,gray70,PARK,ManualOverride,70,1722606038.19,4,pNodeReporter
1722606041.203336,ned,12.79,1.48,0.01,149.25,kayak,gray70,PARK,ManualOverride,71,1722606041.2,4,pNodeReporter
1722606044.211846,ned,12.8,1.41,0.01,149.25,kayak,gray70,PARK,ManualOverride,72,1722606044.21,4,pNodeReporter
1722606047.225356,ned,12.79,1.37,0.01,149.25,kayak,gray70,PARK,ManualOverride,73,1722606047.23,4,pNodeReporter
1722606050.239096,ned,12.79,1.32,0.03,149.25,kayak,gray70,PARK,ManualOverride,74,1722606050.24,4,pNodeReporter
1722606053.253106,ned,12.87,1.15,0.01,149.25,kayak,gray70,PARK,ManualOverride,75,1722606053.25,4,pNodeReporter
1722606056.266716,ned,12.96,1.06,0.01,149.25,kayak,gray70,PARK,ManualOverride,76,1722606056.27,4,pNodeReporter
1722606059.280376,ned,13.03,1,0.02,149.25,kayak,gray70,PARK,ManualOverride,77,1722606059.28,4,pNodeReporter
1722606062.294236,ned,13.11,0.85,0.01,149.25,kayak,gray70,PARK,ManualOverride,78,1722606062.29,4,pNodeReporter
1722606065.308486,ned,13.22,0.7,0.02,149.25,kayak,gray70,PARK,ManualOverride,79,1722606065.31,4,pNodeReporter
1722606068.3228161,ned,13.29,0.63,0.02,149.25,kayak,gray70,PARK,ManualOverride,80,1722606068.32,4,pNodeReporter
1722606071.336906,ned,13.25,0.65,0.01,149.25,kayak,gray70,PARK,ManualOverride,81,1722606071.34,4,pNodeReporter
1722606074.351346,ned,13.13,0.7,0.01,149.25,kayak,gray70,PARK,ManualOverride,82,1722606074.35,4,pNodeReporter
1722606077.365066,ned,13.03,0.74,0.01,149.25,kayak,gray70,PARK,ManualOverride,83,1722606077.36,4,pNodeReporter
1722606080.379366,ned,12.96,0.76,0.02,149.25,kayak,gray70,PARK,ManualOverride,84,1722606080.38,4,pNodeReporter
1722606083.393196,ned,12.85,0.8,0.01,149.25,kayak,gray70,PARK,ManualOverride,85,1722606083.39,4,pNodeReporter
1722606086.406956,ned,12.69,0.78,0.03,149.25,kayak,gray70,PARK,ManualOverride,86,1722606086.41,4,pNodeReporter
1722606089.4209461,ned,12.65,0.76,0.01,149.25,kayak,gray70,PARK,ManualOverride,87,1722606089.42,4,pNodeReporter
1722606092.430106,ned,12.77,0.78,0.02,149.25,kayak,gray70,PARK,ManualOverride,88,1722606092.43,4,pNodeReporter
1722606095.439836,ned,12.89,0.83,0.01,149.25,kayak,gray70,PARK,ManualOverride,89,1722606095.44,4,pNodeReporter
1722606098.451726,ned,12.96,0.91,0.02,149.25,kayak,gray70,PARK,ManualOverride,90,1722606098.45,4,pNodeReporter
1722606101.4600961,ned,13.06,0.98,0.01,149.25,kayak,gray70,PARK,ManualOverride,91,1722606101.46,4,pNodeReporter
1722606104.472776,ned,13.2,0.94,0.02,149.25,kayak,gray70,PARK,ManualOverride,92,1722606104.47,4,pNodeReporter
1722606107.4815361,ned,13.28,0.89,0.04,149.25,kayak,gray70,PARK,ManualOverride,93,1722606107.48,4,pNodeReporter
1722606110.491256,ned,13.17,0.91,0.02,149.25,kayak,gray70,PARK,ManualOverride,94,1722606110.49,4,pNodeReporter
1722606113.5050561,ned,13.05,0.96,0.02,149.25,kayak,gray70,PARK,ManualOverride,95,1722606113.5,4,pNodeReporter
1722606116.515886,ned,12.96,0.98,0.01,149.25,kayak,gray70,PARK,ManualOverride,96,1722606116.52,4,pNodeReporter
1722606119.525076,ned,12.87,1.02,0.01,149.25,kayak,gray70,PARK,ManualOverride,97,1722606119.52,4,pNodeReporter
1722606122.036696,ned,12.69,1.17,0.03,149.25,kayak,gray70,PARK,ManualOverride,98,1722606122.04,4,pNodeReporter
1722606123.920576,ned,12.55,1.35,0.01,149.25,kayak,gray70,PARK,ManualOverride,99,1722606123.92,4,pNodeReporter
1722606125.427706,ned,12.39,1.54,0.02,149.25,kayak,gray70,PARK,ManualOverride,100,1722606125.43,4,pNodeReporter
1722606125.427706,ned,12.39,1.54,0.02,149.25,kayak,gray70,PARK,ManualOverride,100,1722606125.43,4,pNodeReporter
1722606127.186076,ned,12.24,1.72,0,149.25,kayak,gray70,PARK,ManualOverride,101,1722606127.19,4,pNodeReporter
1722606128.815946,ned,12.06,1.93,0.03,149.25,kayak,gray70,PARK,ManualOverride,102,1722606128.82,4,pNodeReporter
1722606130.570856,ned,11.9,2.06,0.01,149.25,kayak,gray70,PARK,ManualOverride,103,1722606130.57,4,pNodeReporter
1722606133.581756,ned,11.79,2.2,0.02,149.25,kayak,gray70,PARK,ManualOverride,104,1722606133.58,4,pNodeReporter
1722606136.592346,ned,11.77,2.3,0.01,149.25,kayak,gray70,PARK,ManualOverride,105,1722606136.59,4,pNodeReporter
1722606139.600686,ned,11.75,2.39,0.03,149.25,kayak,gray70,PARK,ManualOverride,106,1722606139.6,4,pNodeReporter
1722606142.6146061,ned,11.76,2.43,0,149.25,kayak,gray70,PARK,ManualOverride,107,1722606142.61,4,pNodeReporter
1722606145.627606,ned,11.91,2.33,0.02,149.25,kayak,gray70,PARK,ManualOverride,108,1722606145.63,4,pNodeReporter
1722606148.635886,ned,12.09,2.19,0.01,149.25,kayak,gray70,PARK,ManualOverride,109,1722606148.64,4,pNodeReporter
1722606151.648276,ned,12.27,2.09,0.01,149.25,kayak,gray70,PARK,ManualOverride,110,1722606151.65,4,pNodeReporter
1722606154.658256,ned,12.4,2.04,0.01,149.25,kayak,gray70,PARK,ManualOverride,111,1722606154.66,4,pNodeReporter
1722606157.667146,ned,12.55,1.89,0.01,149.25,kayak,gray70,PARK,ManualOverride,112,1722606157.67,4,pNodeReporter
1722606160.679756,ned,12.68,1.7,0.01,149.25,kayak,gray70,PARK,ManualOverride,113,1722606160.68,4,pNodeReporter
1722606163.687916,ned,12.7,1.61,0.02,149.25,kayak,gray70,PARK,ManualOverride,114,1722606163.69,4,pNodeReporter
1722606166.699966,ned,12.8,1.54,0.01,149.25,kayak,gray70,PARK,ManualOverride,115,1722606166.7,4,pNodeReporter
1722606169.709316,ned,12.87,1.39,0.01,149.25,kayak,gray70,PARK,ManualOverride,116,1722606169.71,4,pNodeReporter
1722606172.7185261,ned,12.89,1.3,0.01,149.25,kayak,gray70,PARK,ManualOverride,117,1722606172.72,4,pNodeReporter
1722606175.730696,ned,12.92,1.24,0.01,149.25,kayak,gray70,PARK,ManualOverride,118,1722606175.73,4,pNodeReporter
1722606178.7390661,ned,12.96,1.06,0.01,149.25,kayak,gray70,PARK,ManualOverride,119,1722606178.74,4,pNodeReporter
1722606181.751296,ned,12.99,0.83,0.01,149.25,kayak,gray70,PARK,ManualOverride,120,1722606181.75,4,pNodeReporter
1722606184.763716,ned,12.94,0.76,0.01,149.25,kayak,gray70,PARK,ManualOverride,121,1722606184.76,4,pNodeReporter
1722606187.7771761,ned,12.85,0.72,0.03,149.25,kayak,gray70,PARK,ManualOverride,122,1722606187.78,4,pNodeReporter
