time,data,src
1722605875.374906,vname=abe|range=24.64|age=1.42#vname=max|range=1.28|age=2.34#vname=oak|range=1.91|age=2.12,pContactMgrV20
1722605876.376646,vname=abe|range=24.63|age=2.43#vname=max|range=1.15|age=0.34#vname=oak|range=2.10|age=0.12,pContactMgrV20
1722605877.3800461,vname=abe|range=24.54|age=0.42#vname=max|range=1.15|age=1.34#vname=oak|range=2.11|age=1.12,pContactMgrV20
1722605878.381226,vname=abe|range=24.54|age=1.42#vname=max|range=1.14|age=2.34#vname=oak|range=2.10|age=2.12,pContactMgrV20
1722605879.383056,vname=abe|range=24.50|age=2.42#vname=max|range=0.98|age=0.33#vname=oak|range=2.13|age=3.12,pContactMgrV20
1722605880.382806,vname=abe|range=24.39|age=0.40#vname=max|range=0.99|age=1.33#vname=oak|range=2.32|age=1.10,pContactMgrV20
1722605881.384346,vname=abe|range=24.37|age=1.40#vname=max|range=0.97|age=2.33#vname=oak|range=2.32|age=2.10,pContactMgrV20
1722605882.3860261,vname=abe|range=24.34|age=2.40#vname=max|range=0.87|age=0.32#vname=oak|range=2.33|age=3.10,pContactMgrV20
1722605883.387736,vname=abe|range=24.26|age=0.40#vname=max|range=0.86|age=1.33#vname=oak|range=2.48|age=1.09,pContactMgrV20
1722605884.389376,vname=abe|range=24.24|age=1.40#vname=max|range=0.86|age=2.33#vname=oak|range=2.48|age=2.09,pContactMgrV20
1722605885.3925161,vname=abe|range=24.24|age=2.40#vname=max|range=0.82|age=0.31#vname=oak|range=2.46|age=3.09,pContactMgrV20
1722605886.394166,vname=abe|range=24.16|age=0.39#vname=max|range=0.83|age=1.31#vname=oak|range=2.57|age=1.08,pContactMgrV20
1722605887.393506,vname=abe|range=24.15|age=1.39#vname=max|range=0.84|age=2.31#vname=oak|range=2.57|age=2.08,pContactMgrV20
1722605888.395166,vname=abe|range=24.14|age=2.39#vname=max|range=0.81|age=0.30#vname=oak|range=2.58|age=3.08,pContactMgrV20
1722605889.396856,vname=abe|range=24.10|age=0.38#vname=max|range=0.83|age=1.31#vname=oak|range=2.65|age=1.07,pContactMgrV20
1722605890.398496,vname=abe|range=24.11|age=1.38#vname=max|range=0.81|age=2.31#vname=oak|range=2.64|age=2.07,pContactMgrV20
1722605891.4000661,vname=abe|range=24.11|age=2.38#vname=max|range=0.83|age=0.29#vname=oak|range=2.64|age=3.07,pContactMgrV20
1722605892.403706,vname=abe|range=24.12|age=0.37#vname=max|range=0.83|age=1.29#vname=oak|range=2.73|age=1.05,pContactMgrV20
1722605893.405126,vname=abe|range=24.14|age=1.37#vname=max|range=0.83|age=2.29#vname=oak|range=2.69|age=2.05,pContactMgrV20
1722605894.406496,vname=abe|range=24.13|age=2.37#vname=max|range=0.83|age=0.28#vname=oak|range=2.68|age=3.05,pContactMgrV20
1722605895.406116,vname=abe|range=24.19|age=0.35#vname=max|range=0.86|age=1.28#vname=oak|range=2.72|age=1.04,pContactMgrV20
1722605896.407726,vname=abe|range=24.20|age=1.36#vname=max|range=0.85|age=2.29#vname=oak|range=2.69|age=2.05,pContactMgrV20
1722605897.409266,vname=abe|range=24.21|age=2.36#vname=max|range=0.86|age=0.28#vname=oak|range=2.67|age=3.05,pContactMgrV20
1722605898.411056,vname=abe|range=24.31|age=0.35#vname=max|range=0.83|age=1.28#vname=oak|range=2.60|age=1.03,pContactMgrV20
1722605899.412586,vname=abe|range=24.30|age=1.35#vname=max|range=0.83|age=2.28#vname=oak|range=2.63|age=2.03,pContactMgrV20
1722605900.416266,vname=abe|range=24.32|age=2.35#vname=max|range=0.79|age=3.28#vname=oak|range=2.65|age=3.03,pContactMgrV20
