time,data,src
1722605879.5944788,vname=abe|range=26.65|age=2.63#vname=max|range=1.44|age=0.54#vname=ned|range=2.31|age=0.63,pContactMgrV20
1722605880.594879,vname=abe|range=26.60|age=0.61#vname=max|range=1.48|age=1.54#vname=ned|range=2.35|age=1.63,pContactMgrV20
1722605881.595629,vname=abe|range=26.64|age=1.61#vname=max|range=1.52|age=2.54#vname=ned|range=2.41|age=2.63,pContactMgrV20
1722605882.5964289,vname=abe|range=26.66|age=2.61#vname=max|range=1.63|age=0.53#vname=ned|range=2.51|age=0.62,pContactMgrV20
1722605883.597189,vname=abe|range=26.61|age=0.60#vname=max|range=1.67|age=1.53#vname=ned|range=2.55|age=1.62,pContactMgrV20
1722605884.597779,vname=abe|range=26.63|age=1.60#vname=max|range=1.71|age=2.53#vname=ned|range=2.59|age=2.62,pContactMgrV20
1722605885.599479,vname=abe|range=26.63|age=2.61#vname=max|range=1.79|age=0.52#vname=ned|range=2.58|age=0.62,pContactMgrV20
1722605886.599879,vname=abe|range=26.57|age=0.60#vname=max|range=1.81|age=1.52#vname=ned|range=2.60|age=1.62,pContactMgrV20
1722605887.601269,vname=abe|range=26.58|age=1.60#vname=max|range=1.83|age=2.52#vname=ned|range=2.62|age=2.62,pContactMgrV20
1722605888.601759,vname=abe|range=26.61|age=2.60#vname=max|range=1.98|age=0.51#vname=ned|range=2.65|age=0.61,pContactMgrV20
1722605889.602439,vname=abe|range=26.59|age=0.58#vname=max|range=1.99|age=1.51#vname=ned|range=2.67|age=1.61,pContactMgrV20
1722605890.602619,vname=abe|range=26.62|age=1.58#vname=max|range=2.04|age=2.51#vname=ned|range=2.71|age=2.61,pContactMgrV20
1722605891.604349,vname=abe|range=26.63|age=2.58#vname=max|range=2.16|age=0.49#vname=ned|range=2.74|age=0.60,pContactMgrV20
1722605892.604709,vname=abe|range=26.62|age=0.57#vname=max|range=2.15|age=1.49#vname=ned|range=2.73|age=1.60,pContactMgrV20
1722605893.605259,vname=abe|range=26.62|age=1.57#vname=max|range=2.16|age=2.49#vname=ned|range=2.74|age=2.60,pContactMgrV20
1722605894.606799,vname=abe|range=26.62|age=2.57#vname=max|range=2.15|age=0.48#vname=ned|range=2.70|age=0.59,pContactMgrV20
1722605895.608689,vname=abe|range=26.70|age=0.55#vname=max|range=2.15|age=1.48#vname=ned|range=2.70|age=1.59,pContactMgrV20
1722605896.609829,vname=abe|range=26.69|age=1.56#vname=max|range=2.13|age=2.49#vname=ned|range=2.69|age=2.60,pContactMgrV20
1722605897.611769,vname=abe|range=26.66|age=2.56#vname=max|range=2.02|age=0.48#vname=ned|range=2.63|age=0.59,pContactMgrV20
1722605898.6111588,vname=abe|range=26.70|age=0.55#vname=max|range=1.97|age=1.48#vname=ned|range=2.59|age=1.59,pContactMgrV20
1722605899.612449,vname=abe|range=26.69|age=1.55#vname=max|range=1.92|age=2.48#vname=ned|range=2.55|age=2.59,pContactMgrV20
1722605900.613999,vname=abe|range=26.67|age=2.55#vname=max|range=1.72|age=0.46#vname=ned|range=2.50|age=0.58,pContactMgrV20
1722605901.615159,vname=abe|range=26.70|age=0.53#vname=max|range=1.68|age=1.46#vname=ned|range=2.46|age=1.58,pContactMgrV20
1722605902.615759,vname=abe|range=26.66|age=1.53#vname=max|range=1.61|age=2.46#vname=ned|range=2.41|age=2.58,pContactMgrV20
1722605903.617689,vname=abe|range=26.61|age=2.53#vname=max|range=1.47|age=0.45#vname=ned|range=2.35|age=0.57,pContactMgrV20
1722605904.618169,vname=abe|range=26.66|age=0.52#vname=max|range=1.43|age=1.45#vname=ned|range=2.31|age=1.57,pContactMgrV20
1722605905.618849,vname=abe|range=26.59|age=1.53#vname=max|range=1.34|age=2.46#vname=ned|range=2.22|age=2.58,pContactMgrV20
1722605906.619859,vname=abe|range=26.55|age=2.53#vname=max|range=1.33|age=0.45#vname=ned|range=2.14|age=0.57,pContactMgrV20
1722605907.6215088,vname=abe|range=26.54|age=0.51#vname=max|range=1.28|age=1.45#vname=ned|range=2.09|age=1.57,pContactMgrV20
1722605908.622449,vname=abe|range=26.50|age=1.51#vname=max|range=1.22|age=2.45#vname=ned|range=2.02|age=2.57,pContactMgrV20
1722605909.624409,vname=abe|range=26.48|age=2.51#vname=max|range=1.24|age=0.44#vname=ned|range=1.96|age=0.56,pContactMgrV20
1722605910.624199,vname=abe|range=26.45|age=0.50#vname=max|range=1.22|age=1.44#vname=ned|range=1.93|age=1.56,pContactMgrV20
1722605911.6253788,vname=abe|range=26.44|age=0.24#vname=max|range=1.21|age=2.44#vname=ned|range=1.90|age=2.56,pContactMgrV20
1722605912.626699,vname=abe|range=26.41|age=1.24#vname=max|range=1.30|age=0.42#vname=ned|range=1.82|age=0.55,pContactMgrV20
1722605913.6281989,vname=abe|range=26.38|age=2.24#vname=max|range=1.28|age=1.42#vname=ned|range=1.76|age=1.55,pContactMgrV20
1722605914.629359,vname=abe|range=26.36|age=3.25#vname=max|range=1.28|age=2.43#vname=ned|range=1.72|age=2.56,pContactMgrV20
1722605915.6311889,vname=abe|range=26.32|age=1.24#vname=max|range=1.37|age=0.42#vname=ned|range=1.68|age=0.55,pContactMgrV20
1722605916.632459,vname=abe|range=26.30|age=2.24#vname=max|range=1.37|age=1.42#vname=ned|range=1.65|age=1.55,pContactMgrV20
1722605917.6331089,vname=abe|range=26.29|age=0.23#vname=max|range=1.40|age=2.42#vname=ned|range=1.62|age=2.55,pContactMgrV20
1722605918.6357489,vname=abe|range=26.31|age=1.23#vname=max|range=1.48|age=0.40#vname=ned|range=1.61|age=0.54,pContactMgrV20
1722605919.636869,vname=abe|range=26.31|age=2.23#vname=max|range=1.51|age=1.40#vname=ned|range=1.60|age=1.54,pContactMgrV20
1722605920.637739,vname=abe|range=26.33|age=0.21#vname=max|range=1.55|age=2.40#vname=ned|range=1.62|age=2.54,pContactMgrV20
1722605921.639409,vname=abe|range=26.35|age=1.22#vname=max|range=1.62|age=0.40#vname=ned|range=1.71|age=0.54,pContactMgrV20
1722605922.6397789,vname=abe|range=26.35|age=2.22#vname=max|range=1.65|age=1.40#vname=ned|range=1.72|age=1.54,pContactMgrV20
1722605923.641309,vname=abe|range=26.42|age=0.21#vname=max|range=1.68|age=2.40#vname=ned|range=1.75|age=2.54,pContactMgrV20
1722605924.6418989,vname=abe|range=26.42|age=1.21#vname=max|range=1.72|age=0.89#vname=ned|range=1.77|age=0.53,pContactMgrV20
1722605925.6425788,vname=abe|range=26.41|age=2.21#vname=max|range=1.73|age=1.89#vname=ned|range=1.78|age=1.53,pContactMgrV20
1722605926.643149,vname=abe|range=26.43|age=0.95#vname=max|range=1.76|age=0.25#vname=ned|range=1.77|age=2.53,pContactMgrV20
1722605927.643859,vname=abe|range=26.40|age=1.95#vname=max|range=1.74|age=1.25#vname=ned|range=1.70|age=0.52,pContactMgrV20
1722605928.644219,vname=abe|range=26.39|age=0.94#vname=max|range=1.73|age=2.25#vname=ned|range=1.69|age=1.52,pContactMgrV20
1722605929.644789,vname=abe|range=26.35|age=1.94#vname=max|range=1.71|age=0.36#vname=ned|range=1.66|age=2.52,pContactMgrV20
